dim,cloud_size,max_iter,d_fact,c1_c2,profit
10,25,25,0.1,1.0,9.76998527681491
10,25,25,0.1,1.0,8.833517357127784
10,25,25,0.1,1.0,9.400874888769573
10,25,25,0.1,1.0,11.244414134076349
10,25,25,0.1,1.0,9.31078746766334

10,25,50,0.1,1.0,9.514514040746535
10,25,50,0.1,1.0,9.130382387701486
10,25,50,0.1,1.0,10.706828446617976
10,25,50,0.1,1.0,6.334090578734118
10,25,50,0.1,1.0,9.4829401023556

10,25,100,0.1,1.0,6.583513886521129
10,25,100,0.1,1.0,8.467535116290092
10,25,100,0.1,1.0,10.744432551640365
10,25,100,0.1,1.0,7.2580632807439756
10,25,100,0.1,1.0,6.797570185040133

10,50,25,0.1,1.0,10.317433066839271
10,50,25,0.1,1.0,7.755038092729123
10,50,25,0.1,1.0,10.384965851876554
10,50,25,0.1,1.0,7.157950803898164
10,50,25,0.1,1.0,8.783571108550754

10,50,50,0.1,1.0,7.510804676097043
10,50,50,0.1,1.0,7.3324254425892255
10,50,50,0.1,1.0,7.835921775536737
10,50,50,0.1,1.0,6.706521025960812
10,50,50,0.1,1.0,4.6243431560766926

10,50,100,0.1,1.0,7.337670481788531
10,50,100,0.1,1.0,9.154401945695826
10,50,100,0.1,1.0,5.986745630977567
10,50,100,0.1,1.0,6.817837068949282
10,50,100,0.1,1.0,10.482629239969532

10,100,25,0.1,1.0,7.176370041520982
10,100,25,0.1,1.0,6.799744174616162
10,100,25,0.1,1.0,5.314562630138172
10,100,25,0.1,1.0,6.4891452985550355
10,100,25,0.1,1.0,9.155700154908516

10,100,50,0.1,1.0,8.479653117435726
10,100,50,0.1,1.0,5.811705213034828
10,100,50,0.1,1.0,7.18759476584892
10,100,50,0.1,1.0,3.6085123836567212
10,100,50,0.1,1.0,7.722042998026202

10,100,100,0.1,1.0,6.96523748751046
10,100,100,0.1,1.0,7.988256913527679
10,100,100,0.1,1.0,8.435359022607708
10,100,100,0.1,1.0,6.6168730804646225
10,100,100,0.1,1.0,5.5871546219003

50,25,25,0.1,1.0,82.83368831715757
50,25,25,0.1,1.0,79.01975107698962
50,25,25,0.1,1.0,70.27545057909363
50,25,25,0.1,1.0,93.98763686958428
50,25,25,0.1,1.0,81.76738910302393
50,25,50,0.1,1.0,74.13197794087723
50,25,50,0.1,1.0,79.19675824269615
50,25,50,0.1,1.0,72.31418029513206
50,25,50,0.1,1.0,73.61262113538679
50,25,50,0.1,1.0,75.03089723324165
50,25,100,0.1,1.0,84.20259702286154
50,25,100,0.1,1.0,72.73526128219564
50,25,100,0.1,1.0,69.61821681525514
50,25,100,0.1,1.0,74.93945567007528
50,25,100,0.1,1.0,85.07158405736457
50,50,25,0.1,1.0,69.0744938491909
50,50,25,0.1,1.0,69.73228307299799
50,50,25,0.1,1.0,69.33177600701843
50,50,25,0.1,1.0,64.66173633877924
50,50,25,0.1,1.0,82.44974691192408
50,50,50,0.1,1.0,89.24040524967359
50,50,50,0.1,1.0,70.15711988227113
50,50,50,0.1,1.0,82.8294514620119
50,50,50,0.1,1.0,70.4760398228958
50,50,50,0.1,1.0,78.92442283821566
50,50,100,0.1,1.0,76.00958832218593
50,50,100,0.1,1.0,72.7611774468014
50,50,100,0.1,1.0,80.25047481130787
50,50,100,0.1,1.0,68.37957874818107
50,50,100,0.1,1.0,74.22003050532987
50,100,25,0.1,1.0,73.12133353088075
50,100,25,0.1,1.0,76.22235555478211
50,100,25,0.1,1.0,66.96748267522935
50,100,25,0.1,1.0,73.25821092646066
50,100,25,0.1,1.0,66.6139167524062
50,100,50,0.1,1.0,67.55412913643679
50,100,50,0.1,1.0,74.81548027339429
50,100,50,0.1,1.0,71.05472872762128
50,100,50,0.1,1.0,68.02086262446964
